ReportingDate,SaleMonth,Store,Artist,Title,ISRC,UPC,Quantity,TeamPercentage,SongAlbum,CountryofSale,SongwriterRoyaltiesWithheld,EarningsUSD
2023-09-21,202209,Facebook,Satanic Goose,Psychocracy In Loony Bin,QZNWV2195872,196510009166,16,100,Song,OU,0,0.00000733
2023-09-21,202209,Facebook,Satanic Goose,At Snowy Night,QZRP52164365,196623934591,91,100,Song,OU,0,0.0000417
2023-09-08,202304,Snap,Satanic Goose,Changing The Painless Life,QZNWV2183784,196510008756,6,100,Song,FI,0,0.01105027
2023-09-08,202304,Snap,Satanic Goose,Intro,QZNWV2195863,196510009166,2,100,Song,US,0,0.00368342
2023-09-08,202304,Snap,Satanic Goose,Intro,QZNWV2195863,196510009166,5,100,Song,GA,0,0.00920856
2023-09-08,202305,Snap,Satanic Goose,Sad Ghost In Old Fortress,QZNWV2193341,196510010728,1,100,Song,SA,0,0.00181607
2023-09-08,202305,Snap,Satanic Goose,I am the First and the Last and the Alive,QZNWU2159789,196510721549,1,100,Song,SA,0,0.00181607
2023-09-08,202305,Snap,Satanic Goose,Intro,QZNWV2195863,196510009166,1,100,Song,PL,0,0.00181607
2023-09-06,202306,Deezer,Satanic Goose,i don't want to be with you anymore,QZTB22265527,197389991934,1,100,Song,GB,0,0.00574219
2023-09-08,202306,NetEase,Satanic Goose,Born from a Wish,QZTB82262319,197509464256,1,100,Song,US,0,0.00051708
2023-09-08,202306,Snap,Satanic Goose,"And If Anyone Wants To Offend Them, Then The Fire Will Come Out Of The Mouth",QZNWV2132642,196510358769,1,100,Song,US,0,0.00440514
2023-09-08,202306,NetEase,Satanic Goose,contemplation of the unknown part 1,QZNWT2247353,197147477212,1,100,Song,US,0,0.00011635
2023-09-08,202306,Snap,Satanic Goose,Intro,QZNWV2195863,196510009166,1,100,Song,FI,0,0.00440514
2023-09-08,202306,NetEase,Satanic Goose,Through Night,QZNWV2193340,196510010728,2,100,Song,US,0,0.0002327
2023-09-08,202306,Snap,Satanic Goose,At Snowy Night,QZRP52164365,196623934591,1,100,Song,GB,0,0.00440514
2023-09-19,202307,Amazon Unlimited (Streaming),Satanic Goose,Piece Of Desire,QZHN72397073,,1,100,Song,FR,0,0.01438719
2023-09-19,202307,Amazon Unlimited (Streaming),Satanic Goose,Piece Of Desire,QZHN72397073,197746969521,1,100,Song,DE,0,0.01572136
2023-09-22,202307,Spotify,Satanic Goose,Piece Of Desire,QZHN72397073,197746969521,2,100,Song,US,0,0.005541
2023-09-29,202307,Apple Music,Satanic Goose,Piece Of Desire,QZHN72397073,197746969521,1,100,Song,DE,0,0.00805344
2023-09-22,202307,Spotify,Satanic Goose,Live at Tago Mago 12?.?06?.?2023 (Live),QZNWR2361801,196252068643,1,100,Song,US,0,0.005014
2023-09-29,202307,Apple Music,Satanic Goose,Crippled Autumn,QZNWV2132643,196510358769,1,100,Song,US,0,0.00864364
2023-09-22,202307,Spotify,Satanic Goose,Liminal Space,QZHN72397072,197746969521,1,100,Song,US,0,0.002445
2023-09-19,202307,Amazon Unlimited (Streaming),Satanic Goose,i don't want to be with you anymore,QZTB22265527,197389991934,2,100,Song,US,0,0.01561584
2023-09-22,202307,Spotify,Satanic Goose,i don't want to be with you anymore,QZTB22265527,197389991934,1,100,Song,AU,0,0.0014559
2023-09-22,202307,Spotify,Satanic Goose,i don't want to be with you anymore,QZTB22265527,197389991934,1,100,Song,VN,0,0.00063528
2023-09-22,202307,Spotify,Satanic Goose,i don't want to be with you anymore,QZTB22265527,197389991934,3,100,Song,US,0,0.007334
2023-09-22,202307,Spotify,Satanic Goose,i don't want to be with you anymore,QZTB22265527,197389991934,1,100,Song,GB,0,0.00553114
2023-09-19,202307,Amazon Unlimited (Streaming),Satanic Goose,Doomsday,QZHN52237331,196833188401,1,100,Song,US,0,0.00780792
2023-09-19,202307,Amazon Prime (Streaming),Satanic Goose,infinite hollow,QZNWT2247355,197147477212,1,100,Song,IN,0,0.00111585
2023-09-15,202307,Tidal,Satanic Goose,"And If Anyone Wants To Offend Them, Then The Fire Will Come Out Of The Mouth",QZNWV2132642,196510358769,2,100,Song,DK,0,0.01017477
2023-09-08,202307,Snap,Satanic Goose,Psychocracy In Loony Bin,QZNWV2195872,196510009166,2,100,Song,US,0,0.00321166
2023-09-19,202307,Amazon Unlimited (Streaming),Satanic Goose,"Dreams are alien to Sonya, because she does not believe in coming of future.",QZES52230767,196778185312,1,100,Song,JP,0,0.00852656
